"Seller Group","Supplier","Date","Reference","Customer code","Customer name","Physical_Address1","Physical_Address2","Physical_Address3","Physical_Address4","Deliver1","Deliver2","Deliver3","Deliver4","Telephone","Product code","Product description","Quantity","Value","Rep"
"ALL Other","Energy Drinks",03/02/2026,"CRN23881","P605","PIETIE LIEFDE (14 DAYS EFT)","125 DORP STRAAT","POLOKWANE","","","PHS","125 DORP STRAAT","POLOKWANE","","066 277 9162","V24PF500","Vita24 Passionfruit 500ml 1x6 pack",-5,-514,1
"ALL Other","Energy Drinks",03/02/2026,"CRN23881","P605","PIETIE LIEFDE (14 DAYS EFT)","125 DORP STRAAT","POLOKWANE","","","PHS","125 DORP STRAAT","POLOKWANE","","066 277 9162","V24TZ500","Vita24 Tangerine 500ml 1x6 pack",-3,-308,1
"Engen","SG - Wrigley's",03/02/2026,"IN-431839","P266","ENGEN KAREE SERVICE STATION (CAD)","8BGT","P.O.BOX5586","ONVERWACHT","","Walter Sisulu Drive","Onverwacht","Lephalale limpopo","0555","014 763 4373/5011","AIR206","W/R Gum Airwaves B/Mint 30",1,295.20,10
"Engen","SG - Wrigley's",03/02/2026,"IN-431839","P266","ENGEN KAREE SERVICE STATION (CAD)","8BGT","P.O.BOX5586","ONVERWACHT","","Walter Sisulu Drive","Onverwacht","Lephalale limpopo","0555","014 763 4373/5011","ORB173","Wrigley OTC Orbit Peppermint 30",1,230.58,10
"Engen","SG - Wrigley's",03/02/2026,"IN-431839","P266","ENGEN KAREE SERVICE STATION (CAD)","8BGT","P.O.BOX5586","ONVERWACHT","","Walter Sisulu Drive","Onverwacht","Lephalale limpopo","0555","014 763 4373/5011","ORB174","Wrigley OTC Orbit Spearmint 30",1,230.58,10
"Engen","SG - Wrigley's",03/02/2026,"IN-431839","P266","ENGEN KAREE SERVICE STATION (CAD)","8BGT","P.O.BOX5586","ONVERWACHT","","Walter Sisulu Drive","Onverwacht","Lephalale limpopo","0555","014 763 4373/5011","ORB175","Wrigley OTC Orbit Watermelon 30",1,230.58,10
"ALL Other","SG - Wrigley's",03/02/2026,"IN-431840","P253","LA BOS KIOSK (2%)(7 D - I)","P O Box 88","","Marken","0605","Cnr Potgieter & Ellisras","Marken","Lepalale","0605","071 658 3052","ORB173","Wrigley OTC Orbit Peppermint 30",1,256.20,10
"ALL Other","Sweets",03/02/2026,"IN-431841","P253","LA BOS KIOSK (2%)(7 D - I)","P O Box 88","","Marken","0605","Cnr Potgieter & Ellisras","Marken","Lepalale","0605","071 658 3052","B1536","Mallow Whippy Strawb 24x41gr",1,179.51,10
"ALL Other","Sweets",03/02/2026,"IN-431841","P253","LA BOS KIOSK (2%)(7 D - I)","P O Box 88","","Marken","0605","Cnr Potgieter & Ellisras","Marken","Lepalale","0605","071 658 3052","B2616","Beacon Nosh Bar 40's",1,398.96,10
"ALL Other","Diplomat",03/02/2026,"IN-431841","P253","LA BOS KIOSK (2%)(7 D - I)","P O Box 88","","Marken","0605","Cnr Potgieter & Ellisras","Marken","Lepalale","0605","071 658 3052","C306877","Cadbury Lunch Bar Caramilk 40x44g",1,452.84,10
"Shell","SG - Wrigley's",03/02/2026,"IN-431842","P2446","KHITHA PETROLEUM (Pty) Ltd t/a","TRIANGLE SERVICE STATION (-I)","P.O. Box 15","Bela Bela","0480","c/o Chris Hani & Potgieter Road","","Bela Bela","0480","014 736 2356","AIR201","W/R Gum Airwave Men/Euc 30",1,295.20,9
"Shell","Clippa",03/02/2026,"IN-431842","P2446","KHITHA PETROLEUM (Pty) Ltd t/a","TRIANGLE SERVICE STATION (-I)","P.O. Box 15","Bela Bela","0480","c/o Chris Hani & Potgieter Road","","Bela Bela","0480","014 736 2356","MEN021","Mentos Gum Bot Curvy PF Mint (35ps) 1x6",1,156,9
"Shell","Clippa",03/02/2026,"IN-431842","P2446","KHITHA PETROLEUM (Pty) Ltd t/a","TRIANGLE SERVICE STATION (-I)","P.O. Box 15","Bela Bela","0480","c/o Chris Hani & Potgieter Road","","Bela Bela","0480","014 736 2356","MEN022","Mentos Gum Bot Curvy PF Wintergr (35ps)1x6",2,312,9
"Shell","Clippa",03/02/2026,"IN-431842","P2446","KHITHA PETROLEUM (Pty) Ltd t/a","TRIANGLE SERVICE STATION (-I)","P.O. Box 15","Bela Bela","0480","c/o Chris Hani & Potgieter Road","","Bela Bela","0480","014 736 2356","MEN023","Mentos Gum Bot Curvy Strawberry (35ps)1x6",1,156,9
"Shell","Clippa",03/02/2026,"IN-431842","P2446","KHITHA PETROLEUM (Pty) Ltd t/a","TRIANGLE SERVICE STATION (-I)","P.O. Box 15","Bela Bela","0480","c/o Chris Hani & Potgieter Road","","Bela Bela","0480","014 736 2356","MEN054","Mentos Gum PF Strawberry 1x18",1,152.50,9
"Shell","SG - Wrigley's",03/02/2026,"IN-431842","P2446","KHITHA PETROLEUM (Pty) Ltd t/a","TRIANGLE SERVICE STATION (-I)","P.O. Box 15","Bela Bela","0480","c/o Chris Hani & Potgieter Road","","Bela Bela","0480","014 736 2356","ORB172","Wrigley OTC Orbit Bubblemint 30",1,238.27,9
"Shell","SG - Wrigley's",03/02/2026,"IN-431842","P2446","KHITHA PETROLEUM (Pty) Ltd t/a","TRIANGLE SERVICE STATION (-I)","P.O. Box 15","Bela Bela","0480","c/o Chris Hani & Potgieter Road","","Bela Bela","0480","014 736 2356","ORB175","Wrigley OTC Orbit Watermelon 30",1,238.27,9
"Shell","Biltong",03/02/2026,"IN-431842","P2446","KHITHA PETROLEUM (Pty) Ltd t/a","TRIANGLE SERVICE STATION (-I)","P.O. Box 15","Bela Bela","0480","c/o Chris Hani & Potgieter Road","","Bela Bela","0480","014 736 2356","ZT201","Taki S/P Stokkies Chilli 20X40G",1,545.70,9
"Shell","Biltong",03/02/2026,"IN-431842","P2446","KHITHA PETROLEUM (Pty) Ltd t/a","TRIANGLE SERVICE STATION (-I)","P.O. Box 15","Bela Bela","0480","c/o Chris Hani & Potgieter Road","","Bela Bela","0480","014 736 2356","ZT203","Taki Sliced P/Peri 20x50g",1,545.70,9
"Shell","Biltong",03/02/2026,"IN-431842","P2446","KHITHA PETROLEUM (Pty) Ltd t/a","TRIANGLE SERVICE STATION (-I)","P.O. Box 15","Bela Bela","0480","c/o Chris Hani & Potgieter Road","","Bela Bela","0480","014 736 2356","ZT205","Taki Dry Wors 20x60g",1,545.70,9
"ALL Other","Snack a Juice",03/02/2026,"IN-431843","P247","ATKV KLEIN KARIBA (2%)(30 D - C)","P O Box 150","Bela Bela","0480","","Klein Kariba Vakansie Oord","Nylstroom Road","Bela Bela","","014 736 9800","SJ401","Snack a Juice Org 100% 4x3lit",4,947.36,9
"ALL Other","Snack a Juice",03/02/2026,"IN-431843","P247","ATKV KLEIN KARIBA (2%)(30 D - C)","P O Box 150","Bela Bela","0480","","Klein Kariba Vakansie Oord","Nylstroom Road","Bela Bela","","014 736 9800","SJ403","Snack a Juice Mango 100% 4x3lit",10,2368.40,9
"ALL Other","Snack a Juice",03/02/2026,"IN-431843","P247","ATKV KLEIN KARIBA (2%)(30 D - C)","P O Box 150","Bela Bela","0480","","Klein Kariba Vakansie Oord","Nylstroom Road","Bela Bela","","014 736 9800","SJ406","Snack a Juice Litchi 100% 4x3lit",12,2842.08,9
"ALL Other","Snack a Juice",03/02/2026,"IN-431843","P247","ATKV KLEIN KARIBA (2%)(30 D - C)","P O Box 150","Bela Bela","0480","","Klein Kariba Vakansie Oord","Nylstroom Road","Bela Bela","","014 736 9800","SJ408","Snack a Juice Apple 100% 4x3lit",3,710.52,9
"ALL Other","Frimax",03/02/2026,"IN-431844","P247","ATKV KLEIN KARIBA (2%)(30 D - C)","P O Box 150","Bela Bela","0480","","Klein Kariba Vakansie Oord","Nylstroom Road","Bela Bela","","014 736 9800","FRIM016","Frimax Snappers BBQ 50x20g",1,50.65,9
"ALL Other","Frimax",03/02/2026,"IN-431844","P247","ATKV KLEIN KARIBA (2%)(30 D - C)","P O Box 150","Bela Bela","0480","","Klein Kariba Vakansie Oord","Nylstroom Road","Bela Bela","","014 736 9800","FRIM017","Frimax Snappers Tomato 50x20g",1,50.65,9
"ALL Other","Frimax",03/02/2026,"IN-431844","P247","ATKV KLEIN KARIBA (2%)(30 D - C)","P O Box 150","Bela Bela","0480","","Klein Kariba Vakansie Oord","Nylstroom Road","Bela Bela","","014 736 9800","FRIM019","Frimax Snappers Cheese 50x20g",1,50.65,9
"ALL Other","Squeeze Mee",03/02/2026,"IN-431845","P247","ATKV KLEIN KARIBA (2%)(30 D - C)","P O Box 150","Bela Bela","0480","","Klein Kariba Vakansie Oord","Nylstroom Road","Bela Bela","","014 736 9800","SQ002","Squeeze-Mee Strawberry 40x130ml",4,1194.78,9
"ALL Other","Squeeze Mee",03/02/2026,"IN-431846","P247","ATKV KLEIN KARIBA (2%)(30 D - C)","P O Box 150","Bela Bela","0480","","Klein Kariba Vakansie Oord","Nylstroom Road","Bela Bela","","014 736 9800","SQ001","Squeeze-Mee Chocolate 40x130ml",2,597.39,9
"ALL Other","Squeeze Mee",03/02/2026,"IN-431846","P247","ATKV KLEIN KARIBA (2%)(30 D - C)","P O Box 150","Bela Bela","0480","","Klein Kariba Vakansie Oord","Nylstroom Road","Bela Bela","","014 736 9800","SQ002","Squeeze-Mee Strawberry 40x130ml",2,597.39,9
"ALL Other","Squeeze Mee",03/02/2026,"IN-431846","P247","ATKV KLEIN KARIBA (2%)(30 D - C)","P O Box 150","Bela Bela","0480","","Klein Kariba Vakansie Oord","Nylstroom Road","Bela Bela","","014 736 9800","SQ003","Squeeze-Mee Bubblegum 40x130ml",2,597.39,9
"ALL Other","Squeeze Mee",03/02/2026,"IN-431846","P247","ATKV KLEIN KARIBA (2%)(30 D - C)","P O Box 150","Bela Bela","0480","","Klein Kariba Vakansie Oord","Nylstroom Road","Bela Bela","","014 736 9800","SQ004","Squeeze-Mee Vanilla 40x130ml",2,597.39,9
"ALL Other","Squeeze Mee",03/02/2026,"IN-431846","P247","ATKV KLEIN KARIBA (2%)(30 D - C)","P O Box 150","Bela Bela","0480","","Klein Kariba Vakansie Oord","Nylstroom Road","Bela Bela","","014 736 9800","SQ011","Squeeze-Mee Tof/Car 40x130ml",2,597.39,9
"ALL Other","Waterberg",03/02/2026,"IN-431847","P3004","DEON VOSLOO INVESTEMENTS (7D I)","115 F KORAALBOOMSTRAAT","KOKANJE","MODIMOLLE","","Roodekuil Padstal","R516 Settlers/Bela Bela Road","Bela Bela","0480","087 702 7248","GO-WB5","W/Berg Still 1x5lt each",30,456.52,9
"ALL Other","Snack a Juice",03/02/2026,"IN-431847","P3004","DEON VOSLOO INVESTEMENTS (7D I)","115 F KORAALBOOMSTRAAT","KOKANJE","MODIMOLLE","","Roodekuil Padstal","R516 Settlers/Bela Bela Road","Bela Bela","0480","087 702 7248","SJ201","Snack a Juice Org S/C 100% 24x500ml",1,354.24,9
"ALL Other","Snack a Juice",03/02/2026,"IN-431847","P3004","DEON VOSLOO INVESTEMENTS (7D I)","115 F KORAALBOOMSTRAAT","KOKANJE","MODIMOLLE","","Roodekuil Padstal","R516 Settlers/Bela Bela Road","Bela Bela","0480","087 702 7248","SJ202","Snack a Juice C/Tail S/C 100% 24x500ml",1,354.24,9
"ALL Other","Snack a Juice",03/02/2026,"IN-431847","P3004","DEON VOSLOO INVESTEMENTS (7D I)","115 F KORAALBOOMSTRAAT","KOKANJE","MODIMOLLE","","Roodekuil Padstal","R516 Settlers/Bela Bela Road","Bela Bela","0480","087 702 7248","SJ203","Snack a Juice Mango S/C 100% 24x500ml",1,354.24,9
"ALL Other","Snack a Juice",03/02/2026,"IN-431847","P3004","DEON VOSLOO INVESTEMENTS (7D I)","115 F KORAALBOOMSTRAAT","KOKANJE","MODIMOLLE","","Roodekuil Padstal","R516 Settlers/Bela Bela Road","Bela Bela","0480","087 702 7248","SJ204","Snack a Juice App S/C 100% 24x500ml",1,354.24,9
"ALL Other","Snack a Juice",03/02/2026,"IN-431847","P3004","DEON VOSLOO INVESTEMENTS (7D I)","115 F KORAALBOOMSTRAAT","KOKANJE","MODIMOLLE","","Roodekuil Padstal","R516 Settlers/Bela Bela Road","Bela Bela","0480","087 702 7248","SJ205","Snack a Juice Guava S/C 20% 24x500ml",1,354.24,9
"ALL Other","Snack a Juice",03/02/2026,"IN-431847","P3004","DEON VOSLOO INVESTEMENTS (7D I)","115 F KORAALBOOMSTRAAT","KOKANJE","MODIMOLLE","","Roodekuil Padstal","R516 Settlers/Bela Bela Road","Bela Bela","0480","087 702 7248","SJ206","Snack a Juice Litchi S/C 42% 24x500ml",1,354.24,9
"ALL Other","Snack a Juice",03/02/2026,"IN-431847","P3004","DEON VOSLOO INVESTEMENTS (7D I)","115 F KORAALBOOMSTRAAT","KOKANJE","MODIMOLLE","","Roodekuil Padstal","R516 Settlers/Bela Bela Road","Bela Bela","0480","087 702 7248","SJ208","Snack a Juice Cranb S/C 100% 24x500ml",1,354.24,9
"ALL Other","Snack a Juice",03/02/2026,"IN-431847","P3004","DEON VOSLOO INVESTEMENTS (7D I)","115 F KORAALBOOMSTRAAT","KOKANJE","MODIMOLLE","","Roodekuil Padstal","R516 Settlers/Bela Bela Road","Bela Bela","0480","087 702 7248","SJ209","Snack a Juice Breakfast Punch 100% 24x500ml",1,354.24,9
"ALL Other","Dairy Products",03/02/2026,"IN-431847","P3004","DEON VOSLOO INVESTEMENTS (7D I)","115 F KORAALBOOMSTRAAT","KOKANJE","MODIMOLLE","","Roodekuil Padstal","R516 Settlers/Bela Bela Road","Bela Bela","0480","087 702 7248","SQ204","SQ D/Thick 12x300ml Toff/Caramel",1,134.78,9
"ALL Other","Energy Drinks",03/02/2026,"IN-431847","P3004","DEON VOSLOO INVESTEMENTS (7D I)","115 F KORAALBOOMSTRAAT","KOKANJE","MODIMOLLE","","Roodekuil Padstal","R516 Settlers/Bela Bela Road","Bela Bela","0480","087 702 7248","SWI001","Switch Original 24x500ml",1,184.35,9
"ALL Other","Energy Drinks",03/02/2026,"IN-431847","P3004","DEON VOSLOO INVESTEMENTS (7D I)","115 F KORAALBOOMSTRAAT","KOKANJE","MODIMOLLE","","Roodekuil Padstal","R516 Settlers/Bela Bela Road","Bela Bela","0480","087 702 7248","SWI007","Switch Cranberry/Cherry 24x500ml",1,184.35,9
"ALL Other","Energy Drinks",03/02/2026,"IN-431847","P3004","DEON VOSLOO INVESTEMENTS (7D I)","115 F KORAALBOOMSTRAAT","KOKANJE","MODIMOLLE","","Roodekuil Padstal","R516 Settlers/Bela Bela Road","Bela Bela","0480","087 702 7248","SWI008","Switch Bok Green Citrus Pine 24x500ml",1,184.35,9
"ALL Other","Energy Drinks",03/02/2026,"IN-431847","P3004","DEON VOSLOO INVESTEMENTS (7D I)","115 F KORAALBOOMSTRAAT","KOKANJE","MODIMOLLE","","Roodekuil Padstal","R516 Settlers/Bela Bela Road","Bela Bela","0480","087 702 7248","SWI023","Switch Dry Lemon 24x500ml",1,184.35,9
"ALL Other","Energy Drinks",03/02/2026,"IN-431847","P3004","DEON VOSLOO INVESTEMENTS (7D I)","115 F KORAALBOOMSTRAAT","KOKANJE","MODIMOLLE","","Roodekuil Padstal","R516 Settlers/Bela Bela Road","Bela Bela","0480","087 702 7248","V24BB500","Vita24 Blue Berry 500ml 1x6 pack",2,216.21,9
"ALL Other","Energy Drinks",03/02/2026,"IN-431847","P3004","DEON VOSLOO INVESTEMENTS (7D I)","115 F KORAALBOOMSTRAAT","KOKANJE","MODIMOLLE","","Roodekuil Padstal","R516 Settlers/Bela Bela Road","Bela Bela","0480","087 702 7248","V24LI500","Vita24 Litchi 500ml 1x6 pack",3,324.32,9
"ALL Other","Waterberg NEW",03/02/2026,"IN-431847","P3004","DEON VOSLOO INVESTEMENTS (7D I)","115 F KORAALBOOMSTRAAT","KOKANJE","MODIMOLLE","","Roodekuil Padstal","R516 Settlers/Bela Bela Road","Bela Bela","0480","087 702 7248","WBNEW1.5L","W/B Spring Water Still 12x1,5L",6,678.26,9
"ALL Other","Waterberg NEW",03/02/2026,"IN-431847","P3004","DEON VOSLOO INVESTEMENTS (7D I)","115 F KORAALBOOMSTRAAT","KOKANJE","MODIMOLLE","","Roodekuil Padstal","R516 Settlers/Bela Bela Road","Bela Bela","0480","087 702 7248","WBNEW500","W/B Spring Water Still 24x500ml",6,790.44,9
"ALL Other","Waterberg NEW",03/02/2026,"IN-431847","P3004","DEON VOSLOO INVESTEMENTS (7D I)","115 F KORAALBOOMSTRAAT","KOKANJE","MODIMOLLE","","Roodekuil Padstal","R516 Settlers/Bela Bela Road","Bela Bela","0480","087 702 7248","WBNEW750","W/B Spring Water Still 12x750ml",6,597.39,9
"ALL Other","Foxi Snax",03/02/2026,"IN-431848","P2468","MARKEN PRIMARY SCHOOL (3 D - I)","P.O. Box 2","","Marken","0605","CLASSROOM - JEANE","1 Main Street, Marken","Lephalale","0605","014 765 0121","FN000","Foxi Nax MIX 50x22g",12,876.52,10
"ALL Other","Energy Drinks",03/02/2026,"IN-431848","P2468","MARKEN PRIMARY SCHOOL (3 D - I)","P.O. Box 2","","Marken","0605","CLASSROOM - JEANE","1 Main Street, Marken","Lephalale","0605","014 765 0121","V24BB500","Vita24 Blue Berry 500ml 1x6 pack",1,108.11,10
"ALL Other","Energy Drinks",03/02/2026,"IN-431848","P2468","MARKEN PRIMARY SCHOOL (3 D - I)","P.O. Box 2","","Marken","0605","CLASSROOM - JEANE","1 Main Street, Marken","Lephalale","0605","014 765 0121","V24LI500","Vita24 Litchi 500ml 1x6 pack",1,108.11,10
"ALL Other","Energy Drinks",03/02/2026,"IN-431848","P2468","MARKEN PRIMARY SCHOOL (3 D - I)","P.O. Box 2","","Marken","0605","CLASSROOM - JEANE","1 Main Street, Marken","Lephalale","0605","014 765 0121","V24RB500","Vita24 Red Berry 500ml 1x6 pack",1,108.11,10
"ALL Other","Energy Drinks",03/02/2026,"IN-431848","P2468","MARKEN PRIMARY SCHOOL (3 D - I)","P.O. Box 2","","Marken","0605","CLASSROOM - JEANE","1 Main Street, Marken","Lephalale","0605","014 765 0121","V24TZ500","Vita24 Tangerine 500ml 1x6 pack",1,108.11,10
"ALL Other","Bromor Foods",03/02/2026,"IN-431849","P253","LA BOS KIOSK (2%)(7 D - I)","P O Box 88","","Marken","0605","Cnr Potgieter & Ellisras","Marken","Lepalale","0605","071 658 3052","BR018","Oros  Mango  24X300ML",1,163.24,10
"ALL Other","Energy Drinks",03/02/2026,"IN-431849","P253","LA BOS KIOSK (2%)(7 D - I)","P O Box 88","","Marken","0605","Cnr Potgieter & Ellisras","Marken","Lepalale","0605","071 658 3052","DRA002","Dragon Energy Drinks 24x500ml",3,600,10
"ALL Other","Foxi Snax",03/02/2026,"IN-431849","P253","LA BOS KIOSK (2%)(7 D - I)","P O Box 88","","Marken","0605","Cnr Potgieter & Ellisras","Marken","Lepalale","0605","071 658 3052","FNP003","Foxi Puffs BBQ 20x50g",1,93.48,10
"ALL Other","Aquelle",03/02/2026,"IN-431849","P253","LA BOS KIOSK (2%)(7 D - I)","P O Box 88","","Marken","0605","Cnr Potgieter & Ellisras","Marken","Lepalale","0605","071 658 3052","QU602","aQuelle Naartjie 6x500ml",1,42,10
"ALL Other","Aquelle",03/02/2026,"IN-431849","P253","LA BOS KIOSK (2%)(7 D - I)","P O Box 88","","Marken","0605","Cnr Potgieter & Ellisras","Marken","Lepalale","0605","071 658 3052","QU603","aQuelle Strawberry 6x500ml",2,84,10
"ALL Other","Aquelle",03/02/2026,"IN-431849","P253","LA BOS KIOSK (2%)(7 D - I)","P O Box 88","","Marken","0605","Cnr Potgieter & Ellisras","Marken","Lepalale","0605","071 658 3052","QU605","aQuelle Granadilla 6x500ml",1,42,10
"ALL Other","Aquelle",03/02/2026,"IN-431849","P253","LA BOS KIOSK (2%)(7 D - I)","P O Box 88","","Marken","0605","Cnr Potgieter & Ellisras","Marken","Lepalale","0605","071 658 3052","QU608","aQuelle Watermelon 6x500ml",2,84,10
"ALL Other","Energy Drinks",03/02/2026,"IN-431849","P253","LA BOS KIOSK (2%)(7 D - I)","P O Box 88","","Marken","0605","Cnr Potgieter & Ellisras","Marken","Lepalale","0605","071 658 3052","SWI008","Switch Bok Green Citrus Pine 24x500ml",1,184.35,10
"ALL Other","Energy Drinks",03/02/2026,"IN-431849","P253","LA BOS KIOSK (2%)(7 D - I)","P O Box 88","","Marken","0605","Cnr Potgieter & Ellisras","Marken","Lepalale","0605","071 658 3052","SWI023","Switch Dry Lemon 24x500ml",1,184.35,10
"ALL Other","Energy Drinks",03/02/2026,"IN-431849","P253","LA BOS KIOSK (2%)(7 D - I)","P O Box 88","","Marken","0605","Cnr Potgieter & Ellisras","Marken","Lepalale","0605","071 658 3052","SWI031","Switch Vitamin C Lemon/Ginger 24x500ml",1,184.35,10
"ALL Other","Energy Drinks",03/02/2026,"IN-431849","P253","LA BOS KIOSK (2%)(7 D - I)","P O Box 88","","Marken","0605","Cnr Potgieter & Ellisras","Marken","Lepalale","0605","071 658 3052","SWI051","Switch Vita C Rooibos & Honey 24x500ml",1,184.35,10
"ALL Other","Energy Drinks",03/02/2026,"IN-431849","P253","LA BOS KIOSK (2%)(7 D - I)","P O Box 88","","Marken","0605","Cnr Potgieter & Ellisras","Marken","Lepalale","0605","071 658 3052","SWI056","Switch Pineapple Mango & Cherry 24x500ml",1,184.35,10
"ALL Other","Energy Drinks",03/02/2026,"IN-431849","P253","LA BOS KIOSK (2%)(7 D - I)","P O Box 88","","Marken","0605","Cnr Potgieter & Ellisras","Marken","Lepalale","0605","071 658 3052","SWI057","Switch Watermelon/Straw & Pear 24x500ml",1,184.35,10
"ALL Other","Squeeze Mee",03/02/2026,"IN-431850","P3716","SELDOM REST PTY LTD t/a Q SHOP LEPHALALE","P O BOX 124","LEPHALALE","","","VENTER STR 1","LEPHALALE","","","083 236 2717","SQ002","Squeeze-Mee Strawberry 40x130ml",1,298.70,10
"ALL Other","Squeeze Mee",03/02/2026,"IN-431850","P3716","SELDOM REST PTY LTD t/a Q SHOP LEPHALALE","P O BOX 124","LEPHALALE","","","VENTER STR 1","LEPHALALE","","","083 236 2717","SQ003","Squeeze-Mee Bubblegum 40x130ml",1,298.70,10
"ALL Other","Squeeze Mee",03/02/2026,"IN-431850","P3716","SELDOM REST PTY LTD t/a Q SHOP LEPHALALE","P O BOX 124","LEPHALALE","","","VENTER STR 1","LEPHALALE","","","083 236 2717","SQ011","Squeeze-Mee Tof/Car 40x130ml",1,298.70,10
"Independant Forecourts","Squeeze Mee",03/02/2026,"IN-431851","P2526","LEPHALALE CROSSING FILLING STATION (PTY)","LTD  C/O  R33 & R510","LEPHALALE","","","PORTION 17173","FARM SCHAAPPLAATS","LEPHALALE","0555","078 593 5877 LETTIE","SQ001","Squeeze-Mee Chocolate 40x130ml",3,896.09,10
"Independant Forecourts","Foxi Snax",03/02/2026,"IN-431852","P2526","LEPHALALE CROSSING FILLING STATION (PTY)","LTD  C/O  R33 & R510","LEPHALALE","","","PORTION 17173","FARM SCHAAPPLAATS","LEPHALALE","0555","078 593 5877 LETTIE","FN004","Foxi Nax Salt Vinegar 50x22g",2,146.09,10
"Independant Forecourts","Foxi Snax",03/02/2026,"IN-431852","P2526","LEPHALALE CROSSING FILLING STATION (PTY)","LTD  C/O  R33 & R510","LEPHALALE","","","PORTION 17173","FARM SCHAAPPLAATS","LEPHALALE","0555","078 593 5877 LETTIE","FN007","Foxi Nax Spicy Tomato 50x22g",2,146.09,10
"Independant Forecourts","Foxi Snax",03/02/2026,"IN-431852","P2526","LEPHALALE CROSSING FILLING STATION (PTY)","LTD  C/O  R33 & R510","LEPHALALE","","","PORTION 17173","FARM SCHAAPPLAATS","LEPHALALE","0555","078 593 5877 LETTIE","FN023","Foxi Nax Salt Vinegar 40x75g",1,216.53,10
"Independant Forecourts","Foxi Snax",03/02/2026,"IN-431852","P2526","LEPHALALE CROSSING FILLING STATION (PTY)","LTD  C/O  R33 & R510","LEPHALALE","","","PORTION 17173","FARM SCHAAPPLAATS","LEPHALALE","0555","078 593 5877 LETTIE","FN025","Foxi Nax BBQ 40x75g",1,216.53,10
"Independant Forecourts","Foxi Snax",03/02/2026,"IN-431852","P2526","LEPHALALE CROSSING FILLING STATION (PTY)","LTD  C/O  R33 & R510","LEPHALALE","","","PORTION 17173","FARM SCHAAPPLAATS","LEPHALALE","0555","078 593 5877 LETTIE","FN026","Foxi Nax Spicy Tomato 40x75g",1,216.53,10
